material_id,band_gap_eV,critical_temp_K,ionic_conductivity_S_per_cm,formation_energy_eV_per_atom,density_g_per_cm3,stability_score,manufacturability_score,predicted_performance,ai_success_probability
Mat-001,1.685,145.44,2e-08,0.904,5.102,0.532,0.223,0.12,0.081
Mat-002,4.278,116.27,0.00028502,-3.443,1.364,1.0,0.362,0.362,0.161
Mat-003,3.294,140.92,1.59e-06,-4.058,1.883,1.0,0.349,0.381,0.305
Mat-004,2.694,134.22,3.631e-05,-1.819,6.82,1.0,0.169,0.478,0.761
Mat-005,0.702,89.68,0.02254059,1.407,4.863,0.533,0.56,0.524,0.359
Mat-006,0.702,138.28,5.6e-07,-3.427,0.862,1.0,0.641,0.388,0.275
Mat-007,0.261,13.27,7.46e-06,-0.631,1.48,0.869,0.361,0.677,0.772
Mat-008,3.898,29.4,0.00194472,-0.049,5.245,0.789,0.168,0.585,0.597
Mat-009,2.705,6.78,4e-07,-3.455,0.834,1.0,0.147,0.647,0.824
Mat-010,3.186,48.8,3e-08,-0.267,1.877,0.807,0.227,0.388,0.41
Mat-011,0.093,58.3,1.07e-06,-2.609,4.477,1.0,0.427,0.669,0.848
Mat-012,4.365,40.7,1.3e-07,-0.89,5.436,0.807,0.219,0.176,0.05
Mat-013,3.746,124.31,0.03220205,-0.882,5.168,0.926,0.208,0.311,0.415
Mat-014,0.956,53.51,0.00453777,-1.517,2.303,1.0,0.425,0.718,0.71
Mat-015,0.818,42.14,0.00027154,-4.413,5.572,1.0,0.319,0.724,0.785
Mat-016,0.825,81.4,0.01259575,0.429,2.39,0.763,0.405,0.684,0.825
Mat-017,1.369,21.14,0.00422381,-2.915,2.98,1.0,0.504,0.768,0.899
Mat-018,2.361,120.33,2e-07,-3.788,5.801,1.0,0.284,0.362,0.295
Mat-019,1.944,11.18,0.01769754,-4.735,5.153,1.0,0.334,0.844,0.971
Mat-020,1.311,148.03,5.962e-05,-1.159,6.49,0.984,0.275,0.548,0.581
Mat-021,2.753,115.84,0.00448829,-0.596,5.206,0.891,0.367,0.523,0.559
Mat-022,0.628,29.81,0.01873437,-4.892,4.608,1.0,0.339,0.9,0.949
Mat-023,1.315,0.83,1.68e-06,-1.671,1.428,1.0,0.426,0.524,0.616
Mat-024,1.649,122.32,6e-08,-3.528,3.264,1.0,0.543,0.362,0.222
Mat-025,2.052,106.03,3.9e-07,-0.806,2.577,0.961,0.486,0.355,0.212
Mat-026,3.533,109.35,9.77e-06,-3.867,2.435,1.0,0.196,0.436,0.438
Mat-027,0.899,115.69,0.00532235,-0.509,7.319,0.81,0.309,0.609,0.797
Mat-028,2.314,11.11,0.01059532,-2.486,3.434,1.0,0.266,0.755,0.727
Mat-029,2.666,53.77,1e-08,1.089,6.777,0.507,0.327,0.35,0.264
Mat-030,0.209,17.38,3.76e-05,-4.106,5.029,1.0,0.576,0.781,0.893
Mat-031,2.734,129.47,8.35e-06,-2.783,6.125,1.0,0.216,0.413,0.44
Mat-032,0.767,93.49,3.6e-07,-4.262,4.168,1.0,0.272,0.659,0.76
Mat-033,0.293,49.63,7e-08,1.011,4.665,0.767,0.341,0.206,0.151
Mat-034,4.27,9.53,2.31e-06,0.703,4.1,0.483,0.297,0.304,0.131
Mat-035,4.345,46.65,0.03984446,-3.323,2.108,1.0,0.255,0.768,0.745
Mat-036,3.638,48.78,1.83e-06,-0.71,5.64,0.739,0.402,0.364,0.358
Mat-037,1.371,109.44,4.281e-05,0.312,2.681,0.66,0.363,0.454,0.316
Mat-038,0.44,95.63,0.00083394,-1.391,0.963,1.0,0.278,0.592,0.494
Mat-039,3.079,133.08,3.51e-06,-1.557,5.125,1.0,0.171,0.234,0.107
Mat-040,1.981,70.83,0.06345628,-3.428,1.987,1.0,0.468,0.782,0.895
Mat-041,0.549,17.94,0.05459226,-4.395,7.101,1.0,0.265,0.911,0.975
Mat-042,2.228,106.99,5.8e-07,0.832,7.191,0.666,0.746,0.426,0.459
Mat-043,0.155,114.12,3.025e-05,0.853,6.93,0.549,0.603,0.421,0.358
Mat-044,4.092,84.19,1.28e-06,-0.885,3.28,0.915,0.509,0.329,0.143
Mat-045,1.165,115.65,9.9e-07,-2.796,0.904,1.0,0.478,0.526,0.586
Mat-046,2.981,74.07,2e-08,-2.73,7.02,1.0,0.581,0.303,0.183
Mat-047,1.403,78.41,0.00018491,-0.281,3.669,0.968,0.55,0.555,0.671
Mat-048,2.34,64.13,3.302e-05,0.831,7.277,0.662,0.415,0.446,0.299
Mat-049,2.46,3.81,2e-08,0.766,7.256,0.46,0.446,0.444,0.345
Mat-050,0.832,16.18,8.9e-07,0.069,6.515,0.753,0.639,0.61,0.755
